iter	Logloss
0	0.6359809497
1	0.5967429668
2	0.5642094576
3	0.5297394241
4	0.4987786976
5	0.4754648358
6	0.4580871428
7	0.438670167
8	0.4248268308
9	0.4114592886
10	0.3968692542
11	0.3878713314
12	0.3803466537
13	0.3703575756
14	0.3618663685
15	0.3546247792
16	0.3503283632
17	0.344344601
18	0.3397032164
19	0.337229094
20	0.3328021944
21	0.3289050923
22	0.3262834583
23	0.3237328009
24	0.3206336527
25	0.3183575552
26	0.3171068082
27	0.3153753956
28	0.3142791848
29	0.3123933376
30	0.3105922857
31	0.3092528253
32	0.3086271263
33	0.3074890089
34	0.3059232683
35	0.3046555041
36	0.3032887522
37	0.3021723914
38	0.3010452549
39	0.3000943523
40	0.2991096154
41	0.2984839673
42	0.2978575076
43	0.2972164738
44	0.2965881702
45	0.2960386317
46	0.2955027491
47	0.2952391124
48	0.294657789
49	0.2942101676
50	0.2938782567
51	0.2935640772
52	0.2933045799
53	0.2930638019
54	0.2928121842
55	0.2924261867
56	0.2920014205
57	0.2915400903
58	0.2911927162
59	0.2908073798
60	0.2904114249
61	0.2899411762
62	0.289572302
63	0.2891852492
64	0.2889893997
65	0.2887411285
66	0.28848789
67	0.2882469244
68	0.2880986775
69	0.2879088987
70	0.287677341
71	0.2874013003
72	0.2872486594
73	0.2869771094
74	0.2867155099
75	0.2864601983
76	0.286319986
77	0.2863050122
78	0.286216235
79	0.2860665232
80	0.2858453997
81	0.2856809168
82	0.2855422774
83	0.2853658278
84	0.2851364079
85	0.2849360243
86	0.2846228713
87	0.2844043057
88	0.2841861679
89	0.2841664161
90	0.2841374898
91	0.2840121851
92	0.2837726746
93	0.2835975698
94	0.2834535099
95	0.2834187973
96	0.283274372
97	0.2831610148
98	0.2828730151
99	0.2828590388
100	0.2827477633
101	0.2826291214
102	0.2824596837
103	0.2822917406
104	0.2820842063
105	0.2820197221
106	0.2818582946
107	0.2818380471
108	0.2816319297
109	0.2816009358
110	0.2814165295
111	0.2813560704
112	0.2813206542
113	0.2812149808
114	0.2811040315
115	0.2810939606
116	0.2809467357
117	0.2808031082
118	0.2806465287
119	0.2804881693
120	0.2803329264
121	0.2801557518
122	0.2800513836
123	0.2798515607
124	0.2797846558
125	0.2797762684
126	0.2797060421
127	0.2795313917
128	0.2794898119
129	0.2794010269
130	0.2793471596
131	0.279290948
132	0.2792738428
133	0.279169166
134	0.2790574384
135	0.2789345247
136	0.2788109983
137	0.2786934386
138	0.2786382482
139	0.278533161
140	0.2785014056
141	0.2783636108
142	0.2782184763
143	0.2780908673
144	0.2779919855
145	0.2778777921
146	0.2777213922
147	0.2775993898
148	0.2774547442
149	0.2772790672
150	0.277094905
151	0.2770937555
152	0.2769031879
153	0.2768815025
154	0.2768183774
155	0.2767024371
156	0.2766541266
157	0.2765206201
158	0.2763766954
159	0.2763353856
160	0.2762840701
161	0.2761919465
162	0.2761325152
163	0.2759807913
164	0.275877569
165	0.2757849745
166	0.2757662957
167	0.2756902393
168	0.2756541408
169	0.275609552
170	0.2754206303
171	0.2752811998
172	0.2752198535
173	0.2751480567
174	0.2749929923
175	0.2749929742
176	0.2749017437
177	0.2748700723
178	0.2747334603
179	0.2746849813
180	0.2745285747
181	0.2743878828
182	0.2743532248
183	0.2742287215
184	0.2742171156
185	0.2740824671
186	0.2740173284
187	0.2739354364
188	0.2738849986
189	0.2737023166
190	0.2736655441
191	0.2735978872
192	0.2734523551
193	0.2734176348
194	0.2733543675
195	0.2733289034
196	0.273268954
197	0.2731059859
198	0.272954423
199	0.2728345059
200	0.2727420475
201	0.2726696629
202	0.2725595465
203	0.2724209421
204	0.2723256413
205	0.2722447705
206	0.2720762762
207	0.2719924963
208	0.2718949199
209	0.2718841061
210	0.2718088831
211	0.2716425426
212	0.2714831212
213	0.2712895437
214	0.2711473616
215	0.2710391274
216	0.2708649874
217	0.2707700624
218	0.2706520079
219	0.2705336501
220	0.2703789592
221	0.2703327778
222	0.2703065468
223	0.2702108787
224	0.2701090363
225	0.2699680246
226	0.2698983384
227	0.2698903739
228	0.2697510371
229	0.2696710459
230	0.2695268302
231	0.2694111684
232	0.2692637965
233	0.2692393666
234	0.2691943136
235	0.269065536
236	0.2689936666
237	0.268883225
238	0.268726119
239	0.2685998714
240	0.2684619266
241	0.268396113
242	0.2683305385
243	0.2682873999
244	0.2681744767
245	0.2680600294
246	0.2679064925
247	0.2678263218
248	0.267714233
249	0.26762847
250	0.2675487549
251	0.2675011674
252	0.2674069167
253	0.2673995534
254	0.2673098828
255	0.2672946161
256	0.2671348235
257	0.2670419034
258	0.2670293462
259	0.2669637626
260	0.2669496484
261	0.2667829179
262	0.2666778236
263	0.2666158889
264	0.2665560955
265	0.2664446971
266	0.2662741252
267	0.2662124747
268	0.2660939797
269	0.2659988313
270	0.2658630373
271	0.2657746061
272	0.2656545509
273	0.2656038152
274	0.2655801038
275	0.2654375324
276	0.2654133801
277	0.265255195
278	0.2652415842
279	0.2652229346
280	0.2651785071
281	0.2651702694
282	0.2651067163
283	0.2650413841
284	0.2649202121
285	0.2647622502
286	0.2646703911
287	0.264660177
288	0.2646262305
289	0.2645277189
290	0.2644151817
291	0.2643904373
292	0.2642621462
293	0.2641063386
294	0.264068811
295	0.2639787142
296	0.2638047045
297	0.2637829036
298	0.2636531098
299	0.2635534742
300	0.2635023954
301	0.2634429896
302	0.2633956748
303	0.2633768755
304	0.2632858051
305	0.2631901091
306	0.2630430338
307	0.262991581
308	0.2629741133
309	0.2629460153
310	0.2628599311
311	0.2627508936
312	0.2626451239
313	0.2626001103
314	0.2624943118
315	0.2624198324
316	0.2623055931
317	0.2622653726
318	0.2622380969
319	0.2621782621
320	0.2620993714
321	0.26208815
322	0.2620534548
323	0.2619390743
324	0.2619219411
325	0.2618073128
326	0.2617335018
327	0.2616509153
328	0.261588078
329	0.2615755141
330	0.2615317238
331	0.2614434599
332	0.2613722123
333	0.2613678358
334	0.2613305056
335	0.26122975
336	0.261167328
337	0.2610655595
338	0.2610325383
339	0.2608952345
340	0.2608190946
341	0.260722819
342	0.2606646252
343	0.260618761
344	0.2605776433
345	0.2604803889
346	0.2603829893
347	0.260268976
348	0.2601448032
349	0.2600872756
350	0.2600634317
351	0.2600068225
352	0.2600010126
353	0.259947848
354	0.2597345289
355	0.259654866
356	0.2596433423
357	0.2595960523
358	0.2594609102
359	0.2594033521
360	0.2593305901
361	0.2592258149
362	0.2591631261
363	0.2591109296
364	0.2590361205
365	0.258924527
366	0.2588796383
367	0.2588025562
368	0.2587584905
369	0.258687901
370	0.2586054589
371	0.2585829408
372	0.258510334
373	0.2584586341
374	0.2583936777
375	0.2583819396
376	0.2583031989
377	0.2582701547
378	0.2582051795
379	0.2581718725
380	0.2581189984
381	0.2580794499
382	0.2579785641
383	0.2579053335
384	0.257820355
385	0.2577523433
386	0.2576820748
387	0.2576193537
388	0.2575778653
389	0.2575245509
390	0.2575055792
391	0.2574015739
392	0.2573765233
393	0.2573514722
394	0.2573113117
395	0.2573100564
396	0.2572512347
397	0.2572403821
398	0.257199881
399	0.2570975257
400	0.2570879588
401	0.2569857618
402	0.2568910339
403	0.25684175
404	0.2567820561
405	0.2567527694
406	0.2566347395
407	0.2565452458
408	0.2565417907
409	0.2565055548
410	0.2563914777
411	0.2563719174
412	0.2562811463
413	0.2562378704
414	0.2561277247
415	0.2560025667
416	0.2559996433
417	0.2559610482
418	0.25589812
419	0.2558037209
420	0.2557319876
421	0.2556409969
422	0.255531476
423	0.2554272702
424	0.2554022002
425	0.255358521
426	0.2552632446
427	0.255208672
428	0.2551838368
429	0.2551401931
430	0.2551391661
431	0.2550433507
432	0.2549727897
