iter	Passed	Remaining
0	161	241647
1	176	132273
2	190	95153
3	205	76913
4	220	65951
5	240	59846
6	255	54545
7	272	50759
8	285	47365
9	299	44612
10	314	42566
11	329	40903
12	345	39477
13	360	38300
14	377	37352
15	400	37168
16	418	36499
17	434	35790
18	449	35066
19	468	34675
20	489	34468
21	507	34081
22	526	33817
23	553	34065
24	572	33756
25	589	33447
26	609	33276
27	629	33082
28	645	32751
29	662	32469
30	682	32360
31	701	32184
32	720	32043
33	742	32031
34	761	31885
35	779	31692
36	796	31486
37	815	31366
38	835	31293
39	857	31307
40	880	31320
41	904	31406
42	926	31383
43	950	31451
44	971	31396
45	1000	31620
46	1028	31803
47	1051	31806
48	1073	31793
49	1099	31889
50	1129	32103
51	1158	32247
52	1183	32315
53	1212	32476
54	1237	32516
55	1263	32567
56	1288	32609
57	1316	32730
58	1347	32916
59	1377	33051
60	1416	33405
61	1444	33494
62	1471	33573
63	1498	33628
64	1524	33658
65	1550	33697
66	1580	33795
67	1607	33854
68	1632	33862
69	1662	33967
70	1709	34403
71	1740	34518
72	1770	34618
73	1795	34596
74	1816	34505
75	1839	34467
76	1863	34431
77	1900	34642
78	1929	34698
79	1952	34662
80	1974	34588
81	2009	34744
82	2045	34919
83	2074	34963
84	2101	34990
85	2130	35031
86	2167	35202
87	2212	35496
88	2245	35607
89	2279	35716
90	2308	35736
91	2328	35634
92	2364	35771
93	2395	35824
94	2418	35771
95	2445	35765
96	2469	35724
97	2490	35635
98	2512	35560
99	2535	35499
100	2564	35521
101	2592	35526
102	2620	35538
103	2645	35511
104	2682	35641
105	2708	35616
106	2738	35645
107	2758	35554
108	2781	35498
109	2806	35469
110	2827	35377
111	2851	35334
112	2872	35257
113	2893	35183
114	2916	35130
115	2940	35087
116	2962	35021
117	2981	34924
118	3001	34838
119	3021	34749
120	3043	34688
121	3065	34619
122	3087	34568
123	3109	34499
124	3128	34417
125	3149	34340
126	3168	34259
127	3188	34177
128	3209	34107
129	3230	34047
130	3250	33967
131	3271	33900
132	3293	33853
133	3323	33876
134	3352	33899
135	3377	33869
136	3410	33934
137	3435	33907
138	3459	33874
139	3480	33815
140	3503	33771
141	3532	33782
142	3556	33751
143	3577	33683
144	3599	33633
145	3624	33611
146	3645	33555
147	3675	33574
148	3704	33588
149	3725	33531
150	3747	33476
151	3769	33425
152	3789	33365
153	3809	33296
154	3830	33234
155	3854	33209
156	3875	33153
157	3895	33090
158	3916	33034
159	3937	32975
160	3961	32948
161	3981	32884
162	4003	32835
163	4024	32783
164	4044	32726
165	4065	32674
166	4087	32628
167	4109	32579
168	4128	32517
169	4148	32457
170	4168	32398
171	4189	32345
172	4208	32279
173	4229	32230
174	4251	32186
175	4271	32134
176	4292	32087
177	4312	32030
178	4332	31971
179	4352	31915
180	4379	31917
181	4404	31892
182	4423	31835
183	4443	31783
184	4466	31748
185	4486	31694
186	4506	31642
187	4526	31592
188	4552	31576
189	4580	31577
190	4604	31553
191	4635	31579
192	4665	31596
193	4692	31592
194	4735	31690
195	4764	31701
196	4791	31692
197	4817	31679
198	4835	31612
199	4853	31546
200	4871	31484
201	4892	31435
202	4914	31401
203	4932	31335
204	4949	31267
205	4967	31202
206	4987	31152
207	5005	31094
208	5028	31062
209	5049	31017
210	5069	30970
211	5091	30933
212	5110	30877
213	5129	30823
214	5146	30757
215	5167	30715
216	5186	30664
217	5206	30619
218	5225	30565
219	5243	30509
220	5264	30465
221	5283	30418
222	5297	30333
223	5317	30290
224	5337	30243
225	5358	30209
226	5378	30160
227	5403	30145
228	5424	30104
229	5444	30064
230	5464	30020
231	5489	30002
232	5510	29965
233	5529	29917
234	5550	29878
235	5570	29836
236	5590	29791
237	5613	29766
238	5635	29733
239	5657	29702
240	5679	29669
241	5704	29654
242	5725	29616
243	5753	29614
244	5775	29584
245	5800	29568
246	5824	29547
247	5848	29523
248	5871	29498
249	5892	29463
250	5921	29468
251	5952	29480
252	5976	29456
253	6004	29455
254	6026	29425
255	6053	29415
256	6074	29380
257	6095	29344
258	6107	29264
259	6129	29231
260	6150	29195
261	6170	29158
262	6191	29121
263	6214	29095
264	6234	29054
265	6253	29010
266	6273	28969
267	6293	28932
268	6314	28895
269	6334	28857
270	6355	28822
271	6374	28780
272	6394	28741
273	6417	28715
274	6440	28687
275	6464	28667
276	6485	28635
277	6504	28591
278	6525	28558
279	6544	28516
280	6565	28480
281	6587	28454
282	6608	28420
283	6629	28383
284	6651	28357
285	6675	28334
286	6695	28300
287	6717	28269
288	6738	28236
289	6758	28198
290	6778	28162
291	6800	28132
292	6825	28115
293	6847	28088
294	6868	28054
295	6888	28019
296	6913	28004
297	6936	27976
298	6959	27952
299	6978	27914
300	6998	27877
301	7025	27869
302	7046	27837
303	7072	27823
304	7097	27807
305	7119	27779
306	7143	27758
307	7165	27729
308	7194	27728
309	7215	27699
310	7234	27659
311	7250	27606
312	7265	27554
313	7282	27505
314	7297	27452
315	7312	27399
316	7329	27352
317	7346	27306
318	7362	27259
319	7379	27210
320	7398	27172
321	7413	27122
322	7432	27082
323	7454	27058
324	7473	27020
325	7491	26978
326	7508	26934
327	7527	26897
328	7546	26860
329	7565	26823
330	7583	26783
331	7599	26736
332	7618	26699
333	7640	26673
334	7659	26638
335	7677	26596
336	7695	26557
337	7709	26505
338	7727	26464
339	7744	26420
340	7760	26377
341	7778	26337
342	7795	26295
343	7812	26255
344	7834	26227
345	7854	26198
346	7874	26166
347	7892	26127
348	7911	26092
349	7930	26056
350	7949	26022
351	7969	25989
352	7987	25952
353	8006	25919
354	8024	25881
355	8041	25842
356	8059	25804
357	8078	25768
358	8095	25729
359	8113	25691
360	8131	25656
361	8149	25619
362	8168	25584
363	8186	25548
364	8204	25511
365	8223	25479
366	8244	25451
367	8263	25420
368	8285	25394
369	8307	25372
370	8327	25343
371	8348	25314
372	8368	25284
373	8388	25256
374	8406	25219
375	8427	25191
376	8445	25156
377	8464	25125
378	8484	25094
379	8503	25062
380	8522	25029
381	8540	24995
382	8560	24966
383	8579	24932
384	8596	24897
385	8613	24858
386	8631	24824
387	8650	24790
388	8666	24753
389	8683	24715
